time_s,delayed_power_perturbation_pct,SOURCE_FROZEN_1STATE,PREFIX_IDENTIFIED_1STATE,STATIC_GAIN_NEGCONTROL,D13_SHAPE_PREFIX_GAIN_DIAGNOSTIC,observed_lowpass_g,LP_SOURCE_FROZEN_1STATE,LP_PREFIX_IDENTIFIED_1STATE,LP_STATIC_GAIN_NEGCONTROL,LP_D13_SHAPE_PREFIX_GAIN_DIAGNOSTIC
14.120000000000001,-1.5785148890588356,-0.007942497106346084,-0.008226777460015338,0.015469445912776589,-0.0167839441555346,-0.008681857871819859,-0.00683091223350884,-0.006768948307720813,0.01692827827578082,-0.01609060834079405
14.14,-1.582939633240389,-0.007882518369159769,-0.00815884371853195,0.015512808405755812,-0.016608203008031917,-0.00871609565907903,-0.006847830011125105,-0.006794175617763363,0.016896997812590405,-0.016076302376108038
14.16,-1.590434006833787,-0.007792614651312585,-0.008054591386511517,0.015586253266971111,-0.016407770518185243,-0.008778996152693884,-0.006866922594607858,-0.006822036364525445,0.01686350473185511,-0.016064976747991892
14.18,-1.5979283804271844,-0.0077028995331738835,-0.007950534191697911,0.015659698128186406,-0.01622819274352169,-0.008867935107947809,-0.006887653928647134,-0.00685188102173279,0.016828331084847648,-0.01605576264336373
14.200000000000001,-1.6054227540205828,-0.007613372619099825,-0.00784667176883761,0.015733142989401712,-0.016057274009524242,-0.008980321460311571,-0.006909509610111703,-0.006883086174896902,0.016791988373635422,-0.01604789379687229
14.22,-1.6154241537126066,-0.007499490437759988,-0.007713237801943725,0.015831156706383544,-0.01584447673877861,-0.009113607801669768,-0.0069319994376098835,-0.00691505761964601,0.01675496495337212,-0.01604066869784703
14.24,-1.6340331762689981,-0.0073015809644667385,-0.007477855182642276,0.01601352512743618,-0.015483351119527847,-0.00926481818313289,-0.006954565631233225,-0.006947119057125162,0.01671781785813342,-0.0160332621090048
14.26,-1.6526421988253897,-0.007104086664982332,-0.0072429131473160146,0.01619589354848882,-0.01514895835436437,-0.009430189264014302,-0.006976488785581943,-0.006978398015139008,0.01668126708859029,-0.016024567510029047
14.280000000000001,-1.671251221381783,-0.006907006668356564,-0.007008410871289594,0.016378261969541473,-0.014825902427032958,-0.00960599838440616,-0.0069970641320697075,-0.007008039575834872,0.01664601950397755,-0.01601355748437381
14.3,-1.6898602439381745,-0.0067103401054663695,-0.006774347531431343,0.01656063039059411,-0.014508066715638927,-0.009788789716106229,-0.00701565031687768,-0.007035265538201851,0.01661271996216776,-0.01599934037986891
