time_s,state_u,state_v,state_w,state_p,state_q,state_r,state_phi,state_theta,state_psi,state_collectiveActuator,state_cyclicActuator,state_elevatorActuator,state_hUp,cmd_collectiveCommand,cmd_cyclicLongCommand,cmd_elevatorCommand,out_q,out_theta,out_wBody,out_verticalVelocityUp,out_inertialAccelerationDown,out_specificForceBodyZ,out_thrustLeft,out_thrustRight,out_viLeft,out_viRight,out_FxAeroProp,out_FzAeroProp,out_My,out_hUp,targetViLeft,targetViRight
1,-0.00011538564461146,-3.6336357892499e-16,-0.0730358393467131,-2.95618233218605e-17,1.42012585757328e-05,8.15884598372713e-18,-1.0370155373418e-16,6.99205938977075e-06,3.54469556620405e-18,0.29616713024451,0,0,0.01607952786473,0.29617386879058,0,0,1.42012585757328e-05,6.99205938977075e-06,-0.0730358393467131,0.0730358385381445,-0.167432163850378,-9.97408216472641,30747.0135477604,30747.0135477604,16.5961126368773,16.5961126368773,-0.542519376309076,-59844.4929883585,0.445802461620665,0.01607952786473,16.5961126244799,16.5961126244799
1.05,-0.000123421933597041,-4.09683237560554e-16,-0.0813757618715831,1.54628882091222e-17,1.49457248946855e-05,9.69801550355867e-18,-1.04963362473382e-16,7.72072161139819e-06,4.00198556019138e-18,0.296170261795236,0,0,0.0199400851956678,0.29617386879058,0,0,1.49457248946855e-05,7.72072161139819e-06,-0.0813757618715831,0.0813757609162513,-0.166149723609773,-9.97279972459445,30743.4069611374,30743.4069611374,16.5909768370121,16.5909768370121,-0.534229611374909,-59836.7983475667,0.447583071596522,0.0199400851956678,16.590976824989,16.590976824989
1.1,-0.000131742976177371,-4.69147845474289e-16,-0.0896497567108934,-1.00224773427936e-16,1.5693289286629e-05,7.75279596159482e-18,-1.05628289832964e-16,8.48668351206198e-06,4.44353717222072e-18,0.29617193803887,0,0,0.024216003778768,0.29617386879058,0,0,1.5693289286629e-05,8.48668351206198e-06,-0.0896497567108934,0.089649755589604,-0.16480292624556,-9.97145292734744,30739.5998034444,30739.5998034444,16.5858206458864,16.5858206458864,-0.525141591962116,-59828.7175640846,0.449520417036913,0.024216003778768,16.5858206342272,16.5858206342272
1.15,-0.00014035998755626,-5.09516111550282e-16,-0.0978555795078631,-1.08870989635479e-16,1.64442135581268e-05,7.84143087996105e-18,-1.10853611447748e-16,9.29010653864274e-06,4.81193436792839e-18,0.296172835288465,0,0,0.0289039238073998,0.29617386879058,0,0,1.64442135581268e-05,9.29010653864274e-06,-0.0978555795078631,0.0978555781996811,-0.163427047114938,-9.97007704834302,30735.7009628114,30735.7009628114,16.5806746047882,16.5806746047882,-0.51528333407976,-59820.4622900581,0.451614794832446,0.0289039238073998,16.5806745934826,16.5806745934826
1.2,-0.000149284486082559,-5.61076743876144e-16,-0.105992296284006,-7.30068719535836e-17,1.71987583800301e-05,1.33406356413356e-17,-1.15254446547268e-16,1.01311652121549e-05,5.29966885190902e-18,0.296173315572569,0,0,0.034000409428141,0.29617386879058,0,0,1.71987583800301e-05,1.01311652121549e-05,-0.105992296284006,0.10599229476614,-0.162040931810871,-9.96869093317463,30731.7686101109,30731.7686101109,16.5755548870728,16.5755548870728,-0.504679272460951,-59812.1455990478,0.453864741298498,0.034000409428141,16.5755548761104,16.5755548761104
1.25,-0.000158528275202393,-6.13771912024164e-16,-0.11405967273483,2.08199608646876e-17,1.79571811576341e-05,1.62928671849257e-17,-1.18485226759104e-16,1.10100470116206e-05,5.95862385898822e-18,0.296173572661367,0,0,0.039501997396721,0.29617386879058,0,0,1.79571811576341e-05,1.10100470116206e-05,-0.11405967273483,0.114059670982513,-0.160654629844096,-9.96730463135352,30727.8337636381,30727.8337636381,16.5704699748072,16.5704699748072,-0.493351656513149,-59803.8277881211,0.456267904361016,0.039501997396721,16.5704699641778,16.5704699641778
1.3,-0.000168103434427668,-6.62086094016828e-16,-0.122057847139512,1.14502760949653e-16,1.87197349738092e-05,1.7099307449349e-17,-1.16865908148981e-16,1.19269521812238e-05,6.7965039817838e-18,0.296173710277102,0,0,0.0454052230445696,0.29617386879058,0,0,1.87197349738092e-05,1.19269521812238e-05,-0.122057847139512,0.122057845125869,-0.159273483271854,-9.96592348493747,30723.912910443,30723.9129104429,16.5654242348769,16.5654242348769,-0.48132133655823,-59795.5409096248,0.458821503617151,0.0454052230445696,16.5654242245708,16.5654242245708
1.35,-0.000178022315341748,-7.22333545589287e-16,-0.129987155352592,3.39805032789511e-17,1.94866680984109e-05,1.73389778855674e-17,-1.10928327134129e-16,1.28820935002506e-05,7.65920643772936e-18,0.296173783940719,0,0,0.0517066340790057,0.29617386879058,0,0,1.94866680984109e-05,1.28820935002506e-05,-0.129987155352592,0.129987153048506,-0.157900314395339,-9.96455031622825,30720.0147596077,30720.0147596077,16.5604198325107,16.5604198325107,-0.468608206314299,-59787.3018973695,0.461522572480506,0.0517066340790057,16.5604198225183,16.5604198225183
1.4,-0.000188297540391352,-7.80350159226628e-16,-0.137848037129465,-3.92895167962842e-17,2.02582237953438e-05,1.55671192154762e-17,-1.11060133332695e-16,1.38756960367357e-05,8.42093721504694e-18,0.296173823371736,0,0,0.058402797877227,0.29617386879058,0,0,2.02582237953438e-05,1.38756960367357e-05,-0.137848037129465,0.137848034503436,-0.156536596843624,-9.96318659885553,30716.1438573032,30716.1438573032,16.5554577556347,16.5554577556347,-0.455231452767922,-59779.1195931332,0.464368085413028,0.058402797877227,16.5554577459468,16.5554577459468
1.45,-0.000198942003207661,-8.28841976259947e-16,-0.145640985990281,9.75790457079392e-17,2.10346402857808e-05,1.90649808476092e-17,-1.10155942855538e-16,1.49079968957853e-05,9.33401000843641e-18,0.296173844478561,0,0,0.0654903052979111,0.29617386879058,0,0,2.10346402857808e-05,1.49079968957853e-05,-0.145640985990281,0.14564098300827,-0.155183082461937,-9.96183308466519,30712.3025219457,30712.3025219457,16.5505383632333,16.5505383632333,-0.441209698216404,-59770.9985079912,0.467355024509188,0.0654903052979111,16.5505383538409,16.5505383538409
