model,omega_rad_s,realG,imagG,gain_dB,phase_deg
pp_mean,1.25892541179417,-50.6821647664013,-2.38941725594316,34.1067453213286,-177.300781649755
pp_mean,1.33352143216332,-50.730368727782,-1.74615977021198,34.1105026988357,-178.028634428892
pp_mean,1.41253754462275,-50.7614517371008,-1.10723923845285,34.112746517732,-178.750428236555
pp_mean,1.49623565609443,-50.7757712216044,-0.471222506732229,34.1135045989552,-179.468284082696
pp_mean,1.58489319246111,-50.7734983732402,0.163334578524671,34.1127867032737,179.815684362591
pp_mean,1.67880401812256,-50.7546194954014,0.797874494655114,34.1105846457646,179.099371123929
pp_mean,1.77827941003892,-50.7189365831127,1.4338254621191,34.1068722534482,178.380678334619
pp_mean,1.8836490894898,-50.6660671724364,2.07258857931026,34.1016051684601,177.657516885557
pp_mean,1.99526231496888,-50.5954435541236,2.71552429742257,34.0947205008401,176.927807487419
pp_mean,2.11348903983665,-50.5063115087201,3.36393786603351,34.0861363369801,176.189482329217
pp_mean,2.23872113856834,-50.3977287874984,4.01906338925582,34.0757511121538,175.440487522851
pp_mean,2.37137370566166,-50.2685636375202,4.68204614685985,34.063442858499,174.678786531211
pp_mean,2.51188643150958,-50.1174937511855,5.35392285769987,34.0490683434763,173.90236478576
pp_mean,2.66072505979881,-49.9430061115478,6.03559959795726,34.0324621183493,173.109235707425
pp_mean,2.81838293126445,-49.743398304308,6.72782713887688,34.0134355017366,172.297448350607
pp_mean,2.98538261891796,-49.5167819743305,7.4311735433869,33.9917755299079,171.465096892468
pp_mean,3.16227766016838,-49.2610892156651,8.14599396452156,33.9672439133062,170.610332186131
pp_mean,3.34965439157828,-48.9740827940874,8.87239772759597,33.9395760477974,169.731375584442
pp_mean,3.54813389233576,-48.6533712020389,9.61021295921795,33.9084801393204,168.826535217247
pp_mean,3.75837404288444,-48.2964296261628,10.358949255223,33.8736365117457,167.894224866223
pp_mean,3.98107170553497,-47.9006279522999,11.1177591602717,33.8346971795132,166.93298552316
pp_mean,4.21696503428582,-47.4632669227963,11.8853995644666,33.7912857784548,165.941509636186
pp_mean,4.46683592150963,-46.9816234736453,12.660194501867,33.7429979593244,164.918667939919
pp_mean,4.73151258961481,-46.4530060890945,13.4400012495708,33.6894023578759,163.863538626755
pp_mean,5.01187233627272,-45.874820693015,14.2221820515842,33.6300422614568,162.775438445765
pp_mean,5.30884444230988,-45.2446471263049,15.0035841946056,33.5644380933501,161.653955113437
pp_mean,5.62341325190349,-44.5603256218801,15.7805314955949,33.4920908305732,160.498980190555
pp_mean,5.9566214352901,-43.820051880574,16.5488304633627,33.4124864565025,159.310741329823
pp_mean,6.30957344480193,-43.0224783897424,17.3037943982879,33.3251015245641,158.08983254254
pp_mean,6.68343917568615,-42.1668185555754,18.0402884217841,33.2294098717126,156.837240888689
pp_mean,7.07945784384138,-41.2529491161311,18.7527978125245,33.1248904695918,155.554367787758
pp_mean,7.49894209332456,-40.2815052748094,19.4355210216241,33.0110363373191,154.243043006939
pp_mean,7.94328234724282,-39.2539621830164,20.0824873315791,32.8873643644231,152.905529341224
pp_mean,8.41395141645195,-38.172695963919,20.6876973531421,32.7534258090403,151.544516087898
pp_mean,8.91250938133746,-37.0410175622833,21.2452825238994,32.6088171504078,150.163099662656
pp_mean,9.44060876285924,-35.8631734548673,21.7496776537155,32.4531908931165,148.764750122393
pp_mean,10,-34.6443087275894,22.1957985866998,32.28626585193,147.3532629518
cf_mean,0.1,-13.1915825292875,-22.2379591323576,28.2513043462225,-120.676465994503
cf_mean,0.105925372517729,-14.3551573002526,-22.8351330620163,28.6184126145709,-122.155253757515
cf_mean,0.112201845430196,-15.5799464752404,-23.3848345126094,28.9739900885876,-123.673198155331
cf_mean,0.118850222743702,-16.8621718027908,-23.8795824185599,29.3174626767958,-125.227193924628
cf_mean,0.125892541179417,-18.1968992116897,-24.3121954735749,29.648298223219,-126.813677280321
cf_mean,0.133352143216332,-19.5780615554762,-24.6760064979113,29.9660175744362,-128.428652323211
cf_mean,0.141253754462275,-20.9985284881822,-24.9650776215249,30.2702052006654,-130.067731208955
cf_mean,0.149623565609443,-22.4502246992465,-25.1744042996324,30.5605189073993,-131.726187756238
cf_mean,0.158489319246111,-23.9242942477851,-25.3000956461445,30.8366981787692,-133.399023386804
cf_mean,0.167880401812256,-25.411305059643,-25.3395191873504,31.0985707333502,-135.081043506761
cf_mean,0.177827941003892,-26.9014842070717,-25.2913999620773,31.3460569473664,-136.766941733107
cf_mean,0.18836490894898,-28.3849718159771,-25.1558668132192,31.5791719048539,-138.45138881598
cf_mean,0.199526231496888,-29.8520797131925,-24.9344424473985,31.7980249609589,-140.129122767417
cf_mean,0.211348903983665,-31.2935404784838,-24.6299779698526,32.002816841809,-141.795036620615
cf_mean,0.223872113856834,-32.7007334664699,-24.2465366484916,32.1938344394014,-143.44426042028
cf_mean,0.237137370566166,-34.0658764842018,-23.7892351567418,32.3714435800659,-145.072234463741
cf_mean,0.251188643150958,-35.382174856413,-23.2640531142629,32.5360801397714,-146.674771425593
cf_mean,0.266072505979881,-36.6439231792936,-22.6776231629964,32.6882399419254,-148.248105737403
cf_mean,0.281838293126445,-37.8465587177271,-22.0370140321194,32.8284679007623,-149.788929382468
cf_mean,0.298538261891796,-38.9866687409678,-21.3495181697386,32.9573468673424,-151.294414032427
cf_mean,0.316227766016838,-40.0619568101701,-20.6224537846369,33.0754865999722,-152.762220138179
