theta_report_deg,points_per_segment,derivative_step,b,raw_CT,static_CT,alpha_min_deg,alpha_max_deg,mach_min,mach_max
8,128,1e-05,0.12257373208412,0.00469393180729293,0.011063,-2.63692592808463,12.2756614061845,0.079295473177786,0.690256875216964
9,128,0.0001,0.118652474127711,0.00596402224114528,0.012035,-1.81916936323989,12.5815769705408,0.0807350274302515,0.69042372958348
9,128,5e-05,0.118664877202298,0.00596402224114528,0.012035,-1.81916936323989,12.5815769705408,0.0807350274302515,0.69042372958348
9,128,1e-05,0.118667234623015,0.00596402224114528,0.012035,-1.81916936323989,12.5815769705408,0.0807350274302515,0.69042372958348
10,128,0.0001,0.116855728674349,0.00721131983971294,0.013089,-1.94364115257938,12.8767148450791,0.0822675632695691,0.690604614583563
10,128,5e-05,0.116861284863877,0.00721131983971294,0.013089,-1.94364115257938,12.8767148450791,0.0822675632695691,0.690604614583563
10,128,1e-05,0.116868023563492,0.00721131983971294,0.013089,-1.94364115257938,12.8767148450791,0.0822675632695691,0.690604614583563
11,128,0.0001,0.114939392980998,0.00854438315431394,0.013929,-1.83251629961189,13.3461112983743,0.0834687928974634,0.690748739488939
11,128,5e-05,0.114924378267021,0.00854438315431394,0.013929,-1.83251629961189,13.3461112983743,0.0834687928974634,0.690748739488939
11,128,1e-05,0.114923179977272,0.00854438315431394,0.013929,-1.83251629961189,13.3461112983743,0.0834687928974634,0.690748739488939
6,256,0.0001,0.128650085984329,0.00213642237925586,0.009208,-4.26680031680644,11.743389471898,0.0763532908476483,0.690005413319126
6,256,5e-05,0.128681517560397,0.00213642237925586,0.009208,-4.26680031680644,11.743389471898,0.0763532908476483,0.690005413319126
6,256,1e-05,0.128688983636483,0.00213642237925586,0.009208,-4.26680031680644,11.743389471898,0.0763532908476483,0.690005413319126
6.45799945840901,256,0.0001,0.127750298308342,0.00272703099712144,0.00961066971108423,-3.89251055202245,11.8646053335548,0.0769757189144864,0.690074566035319
6.45799945840901,256,5e-05,0.127762470350464,0.00272703099712144,0.00961066971108423,-3.89251055202245,11.8646053335548,0.0769757189144864,0.690074566035319
6.45799945840901,256,1e-05,0.127761785224489,0.00272703099712144,0.00961066971108423,-3.89251055202245,11.8646053335548,0.0769757189144864,0.690074566035319
7,256,0.0001,0.126149425875503,0.00342279431314567,0.010104,-3.45068900123617,12.0084877253059,0.0777314925848964,0.690159278953712
7,256,5e-05,0.126122514217787,0.00342279431314567,0.010104,-3.45068900123617,12.0084877253059,0.0777314925848964,0.690159278953712
7,256,1e-05,0.126099539922171,0.00342279431314567,0.010104,-3.45068900123617,12.0084877253059,0.0777314925848964,0.690159278953712
8,256,0.0001,0.122548999416782,0.00469392245971043,0.011063,-2.63859634225708,12.2756596540898,0.0791800253365365,0.690323925268947
8,256,5e-05,0.122576931364318,0.00469392245971043,0.011063,-2.63859634225708,12.2756596540898,0.0791800253365365,0.690323925268947
8,256,1e-05,0.122581263211621,0.00469392245971043,0.011063,-2.63859634225708,12.2756596540898,0.0791800253365365,0.690323925268947
9,256,0.0001,0.118641804466939,0.00596401634881606,0.012035,-1.82082218283185,12.5815788544717,0.0806216410151086,0.690490763433083
9,256,5e-05,0.118635781110781,0.00596401634881606,0.012035,-1.82082218283185,12.5815788544717,0.0806216410151086,0.690490763433083
9,256,1e-05,0.118624183972731,0.00596401634881606,0.012035,-1.82082218283185,12.5815788544717,0.0806216410151086,0.690490763433083
10,256,0.0001,0.116837062621232,0.00721131576633757,0.013089,-2.00610674814985,12.8767139243736,0.0821562919813092,0.690671630877185
10,256,5e-05,0.116835420006026,0.00721131576633757,0.013089,-2.00610674814985,12.8767139243736,0.0821562919813092,0.690671630877185
10,256,1e-05,0.116834634181738,0.00721131576633757,0.013089,-2.00610674814985,12.8767139243736,0.0821562919813092,0.690671630877185
11,256,0.0001,0.114974010465927,0.00854437525529104,0.013929,-1.89512989265401,13.3461719552663,0.0833591250767738,0.690815741800951
11,256,5e-05,0.114986380479257,0.00854437525529104,0.013929,-1.89512989265401,13.3461719552663,0.0833591250767738,0.690815741800951
11,256,1e-05,0.115005272857162,0.00854437525529104,0.013929,-1.89512989265401,13.3461719552663,0.0833591250767738,0.690815741800951
