mode,inputChannel,amplitude_deg,output,nonlinearRMS,linearAbsoluteRMSerror,linearRelativeRMSerror,differenceStepAbsoluteChange,differenceStepRelativeChange,primaryChannel
dynamic,2,0.1,q,0.00185602571853806,4.41207003729031e-07,0.00023771599677862,2.19595042488737e-09,1.18314654961627e-06,1
dynamic,2,0.1,theta,0.0017503155392923,2.0110795901319e-07,0.000114898116653014,1.31169280261835e-09,7.49403620760117e-07,0
dynamic,2,0.1,wBody,9.4282261243955e-05,9.21395097369374e-05,0.977273015318616,6.02552843993245e-09,6.39094603845088e-05,0
dynamic,2,0.1,verticalVelocityUp,2.65943341393446e-05,2.44819313463295e-05,0.920569442274924,6.02552843993294e-09,0.00022657188588973,0
dynamic,2,0.1,inertialAccelerationDown,2.33130504500917e-05,2.08729548373236e-05,0.895333490656152,7.81009127838763e-09,0.000335009410077303,0
dynamic,2,0.1,specificForceBodyZ,5.98019944350059e-05,5.69720593445438e-05,0.952678248991549,7.8099313193638e-09,0.00013059650256066,0
dynamic,2,0.1,thrustLeft,0.0323243808064522,0.0317779059826963,0.983094035829239,1.71574072599244e-06,5.30788427554339e-05,0
dynamic,2,0.1,thrustRight,0.032324380806163,0.0317732919109438,0.982951293065013,8.33816934067242e-06,0.000257952948601653,0
dynamic,2,0.1,viLeft,5.82229648906646e-05,5.7163699570663e-05,0.981806743748094,1.73764564391673e-09,2.984467807814e-05,0
dynamic,2,0.1,viRight,5.82229648910185e-05,5.7143416752429e-05,0.981458379170312,8.85459161541397e-09,0.00015208074051172,0
dynamic,2,0.1,FxAeroProp,50.9395684244559,0.00138450732356111,2.71794081964859e-05,0.000141720459949147,2.78212918429649e-06,0
dynamic,2,0.1,FzAeroProp,0.358811966610626,0.341832356549184,0.952678250333084,4.68605476666469e-05,0.000130599177361046,0
dynamic,2,0.1,My,39.5028753216994,0.0250488699680074,0.000634102448594362,8.89448650129202e-05,2.2516048335363e-06,0
dynamic,2,0.1,hUp,1.97122177348293e-05,1.84321055038557e-05,0.935059958844116,3.70319211463867e-09,0.000187862784616849,0
quasisteady,1,0.2,q,2.19738962763792e-06,1.75570848642492e-06,0.798997348646001,1.45725259292845e-09,0.000663174420503169,0
quasisteady,1,0.2,theta,1.4619015955861e-06,1.0007205980703e-06,0.684533487815981,1.02880901185254e-09,0.000703747102375979,0
quasisteady,1,0.2,wBody,0.213935336672947,0.000602729023502876,0.00281734206642214,2.12239537196925e-07,9.9207330821362e-07,0
quasisteady,1,0.2,verticalVelocityUp,0.213935336750243,0.000602728940326217,0.00281734167661076,2.12239537196925e-07,9.92073307855179e-07,0
