law,b_variant,method,source_delay_included,omega_rad_s,model_shape_re,model_shape_im,source_shape_re,source_shape_im,normalized_complex_error,required_map_shape_re,required_map_shape_im
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0857151044670745,1.0030585015681368,-0.015899853759807042,1.0007888466021824,-0.008847527510815991,0.0074024228921105075,0.9976264138276403,0.006993197869314644
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0929514793014845,1.0032744790979682,-0.017136086564175073,1.000843724625156,-0.009536620803020075,0.007971661650915472,0.9974485469088307,0.0075310834647299785
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1002360851317876,1.0034861171348488,-0.01836523131436639,1.0008973699275538,-0.010222015294533981,0.008536692216647532,0.9972726448624332,0.00806501193555328
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1075692434212874,1.0036934768583272,-0.019587310686801217,1.0009498001118582,-0.010903736750490105,0.009097531703668236,0.9970986862617376,0.008594999570708141
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1149512777758661,1.0038966187734477,-0.020802347683558167,1.0010010325389875,-0.01158181086978766,0.009654197206036016,0.9969266499234241,0.009121062613112239
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1223825139582628,1.004095602714818,-0.022010365622044257,1.0010510843311238,-0.012256263284286672,0.010206705795167248,0.9967565149050414,0.009643217258145854
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1298632799024528,1.0042904878507468,-0.023211388124844422,1.0010999723745129,-0.012927119558036751,0.010755074517547068,0.9965882605025009,0.010161479652157171
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1373939057281144,1.0044813326874449,-0.024405439109746303,1.001147713322237,-0.013594405186538287,0.01129932039249016,0.99642186624759,0.01067586589100292
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1449747237551997,1.0046681950732883,-0.025592542779940535,1.001194323596959,-0.014258145596037152,0.01183946040994932,0.9962573119055043,0.011186392018623818
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1526060685185984,1.0048511322031395,-0.02677272361439426,1.0012398193936412,-0.014918366142850881,0.012375511528371576,0.9960945774724008,0.011693074025654985
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1602882767829024,1.0050302006227219,-0.027946006358395545,1.0012842166822362,-0.015575092112726638,0.01290749067260188,0.9959336431729694,0.012195927848069171
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1680216875572644,1.0052054562330464,-0.029112416014267287,1.0013275312103502,-0.01622834872022924,0.013435414731831933,0.9957744894580253,0.012694969365853591
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1758066421103595,1.0053769542948905,-0.03027197783224949,1.001369778505878,-0.016878161108159956,0.013959300557597231,0.9956170970021146,0.013190214401718801
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1836434839854442,1.0055447494333156,-0.031424717301546674,1.0014109738796162,-0.017524554347004142,0.014479164961814442,0.9954614467011509,0.01368167871983956
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1915325590155188,1.0057088956422344,-0.03257066014154069,1.0014511324278428,-0.01816755343440848,0.014995024714868327,0.995307519670058,0.01416937802462684
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.1994742153385862,1.0058694462890132,-0.03370983229316412,1.001490269034875,-0.01880718329468544,0.015506896543737679,0.9951552972404427,0.014653327959530017
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2074688034130157,1.006026454119115,-0.034842259910435935,1.0015283983755994,-0.019443468778346188,0.016014797130167367,0.9950047609582806,0.015133544105869777
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2155166760330083,1.006179971260774,-0.03596796935215424,1.0015655349179744,-0.020076434661660342,0.0165187431088794,0.9948558925816247,0.015610041981699204
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2236181883441675,1.0063300492297058,-0.037086987173747366,1.0016016929255085,-0.020706105646242215,0.017018751065829275,0.9947086740783315,0.01608283704069518
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2317736978591678,1.006476738933844,-0.03819934011927826,1.0016368864597098,-0.02133250635866277,0.0175148375364993,0.9945630876238066,0.016551944671076572
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2399835644735333,1.0066200906781053,-0.03930505511360285,1.0016711293825125,-0.02195566135008728,0.018007019004234757,0.9944191155987713,0.01701738019455091
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.24824815048152,1.006760154169179,-0.04040415925467958,1.0017044353586755,-0.02257559509593771,0.018495311898618062,0.9942767405870473,0.01747915886528816
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2565678205921036,1.0068969785203397,-0.04149667980602793,1.0017368178581558,-0.023192331995579598,0.01897973259388283,0.9941359453733596,0.01793729586892066
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2649429419450722,1.0070306122562789,-0.042582644189334246,1.0017682901584564,-0.023805896372032193,0.019460297407365355,0.9939967129411609,0.01839180632156953
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.273373884127229,1.0071611033179566,-0.04366207997720322,1.001798865346949,-0.024416312471702555,0.01993702259799383,0.9938590264704726,0.018842705268896184
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2818610191887019,1.0072884990674662,-0.04473501488605307,1.0018285563231706,-0.02502360446414195,0.020409924364815014,0.9937228693357486,0.019290007685179293
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2904047216593626,1.0074128462929153,-0.04580147676915259,1.0018573758010971,-0.02562779644182497,0.020879018845555885,0.9935882251037544,0.01973372847241605
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.2990053685653515,1.007534191213318,-0.04686149360979738,1.001885336311388,-0.026228912419949773,0.021344322115223295,0.9934550775314661,0.020173882459447307
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3076633394457178,1.007652579483497,-0.04791509351462461,1.0019124502036119,-0.02682697633626057,0.021805850184734944,0.993323410563992,0.020610484401106122
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3163790163691689,1.0077680561989941,-0.048962304707064176,1.001938729648441,-0.027422012050890204,0.022263618999589785,0.9931932083325057,0.021043548977389963
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3251527839509285,1.0078806659009856,-0.0500031555209231,1.001964186639827,-0.028014043346223552,0.02271764443856698,0.993064455152208,0.02147309079265463
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3339850293697102,1.007990452581205,-0.05103767439410314,1.0019888329971485,-0.028603093926780572,0.023167942312462327,0.9929371355202975,0.021899124374830835
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3428761423848035,1.0080974596868661,-0.0520658898624487,1.0020126803673364,-0.029189187419119366,0.023614528362854995,0.9928112341139661,0.022321664174662078
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3518265153532754,1.0082017301255888,-0.05308783055372321,1.002035740226974,-0.02977234737175783,0.024057418260906828,0.9926867357884122,0.02274072456496381
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3608365432472806,1.0083033062703237,-0.054103525181712436,1.0020580238843744,-0.030352597255114116,0.024496627606193803,0.9925636255748694,0.02315631983990333
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.369906623671495,1.0084022299642754,-0.055113002540452795,1.0020795424816356,-0.030929960461465504,0.024932171925567,0.9924418886786601,0.023568464214299922
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3790371568806594,1.0084985425258226,-0.05611629149858259,1.0021003069966667,-0.03150446030492496,0.025364066672045205,0.9923215104772592,0.023977171822944454
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3882285457972448,1.0085922847534325,-0.057113420993815375,1.002120328245198,-0.03207612002143508,0.025792327223737234,0.9922024765183818,0.024382456719939504
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.3974811960292304,1.00868349693057,-0.05810442002753141,1.002139616882762,-0.03264496276877919,0.026216968882792277,0.9920847725180871,0.024784332878056863
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.4067955158880037,1.0087722188305988,-0.05908931765948842,1.002158183406655,-0.03321101162660899,0.026638006874380216,0.9919683843589019,0.025182814188115205
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.4161719164063786,1.0088584897216746,-0.06006814300264697,1.002176038157876,-0.03377428959648873,0.02705545634569892,0.9918532980879596,0.025577914458374477
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.425610811356737,1.0089423483716267,-0.061040925218111323,1.0021931913230386,-0.03433481960195499,0.027469332365010764,0.9917394999151589,0.02596964741394949
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.4351126172692825,1.0090238330528303,-0.06200769351018135,1.0022096529362674,-0.034892624488591956,0.027879649920704096,0.9916269762113397,0.026358026696239784
