law,b_variant,method,base_grid_n,actual_grid_n,source_delay_included,frequency_lo,frequency_hi,anchor_rad_s,normalized_complex_max,normalized_complex_log_rms,normalized_gain_max_abs_db,normalized_phase_max_abs_deg,any_constant_gain_amplitude_lower_bound,magnitude_ratio_span
CF_TN3044,left_secant,BT_V_KINEMATIC_1,513,514,True,0.1,3.0,1.0,0.39880367752441426,0.18829513679125126,3.922108952235701,13.145450281675272,0.22867246713749834,1.592932204270898
CF_TN3044,left_secant,BT_V_KINEMATIC_1,513,514,False,0.1,3.0,1.0,0.4010106466328516,0.1909773180829044,3.922108952235701,13.506642413211715,0.2286724671374985,1.5929322042708987
CF_TN3044,right_secant,FULL_2,513,514,True,0.1,3.0,1.0,0.40913475112727155,0.19107293647705365,4.139977641686752,12.731030575228928,0.2438657790845815,1.6450330439729177
CF_TN3044,right_secant,FULL_2,513,514,False,0.1,3.0,1.0,0.41112611068657673,0.19342092335632577,4.1399776416867535,13.090586172420478,0.24386577908458162,1.6450330439729182
CF_TN3044,right_secant,PHYSICAL_QS_1,513,514,True,0.1,3.0,1.0,0.4207682772199554,0.2008790117939206,4.233957560226191,13.851205723436738,0.2464518679590922,1.6541104873861279
CF_TN3044,right_secant,PHYSICAL_QS_1,513,514,False,0.1,3.0,1.0,0.42286561024907293,0.20352338510602117,4.233957560226191,14.210761320628292,0.24645186795909232,1.6541104873861283
CF_TN3044,right_secant,BT_V_KINEMATIC_1,513,514,True,0.1,3.0,1.0,0.42121232644469947,0.20113656508995253,4.240418850212889,13.865386456760165,0.24681921936117046,1.6554049856445472
CF_TN3044,right_secant,BT_V_KINEMATIC_1,513,514,False,0.1,3.0,1.0,0.42330742714377545,0.20378015607552105,4.240418850212893,14.224942053951716,0.24681921936117043,1.6554049856445472
CF_TN3044,central_no_unknown_root,FULL_2,513,514,True,0.1,3.0,1.0,0.38772440623768534,0.17909693124916845,3.8404610075800067,12.077854171234987,0.22669192547285405,1.586291370645442
CF_TN3044,central_no_unknown_root,FULL_2,513,514,False,0.1,3.0,1.0,0.3898173716343365,0.18147429108605395,3.8404610075800067,12.438809077660048,0.22669192547285405,1.586291370645442
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,513,514,True,0.1,3.0,1.0,0.3992232685941936,0.18853272068892488,3.927927530149188,13.159019463838005,0.229005067295685,1.594050771494528
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,513,514,False,0.1,3.0,1.0,0.4014281577527906,0.19121419611691867,3.927927530149188,13.520160381592968,0.2290050672956849,1.5940507714945276
CF_TN3044,central_no_unknown_root,BT_V_KINEMATIC_1,513,514,True,0.1,3.0,1.0,0.3994260118659478,0.1886475578922764,3.930740909878238,13.1655739452606,0.22916587351839274,1.5945919248915372
CF_TN3044,central_no_unknown_root,BT_V_KINEMATIC_1,513,514,False,0.1,3.0,1.0,0.4016298958064348,0.19132869202272385,3.930740909878238,13.526690066810605,0.22916587351839282,1.5945919248915374
