check,passed,value
CF_TN3044/central_no_unknown_root/257/analytic_ss,True,1.0342492200996011e-15
CF_TN3044/central_no_unknown_root/257/map_identity_not_calibration,True,1.0831860960855062e-15
CF_TN3044/central_no_unknown_root/257/FULL_2/kinematics,True,
CF_TN3044/central_no_unknown_root/257/FULL_2/a_equals_sv,True,9.47213011528723e-16
CF_TN3044/central_no_unknown_root/257/FULL_2/unit_gain_invariant,True,4.449557262054371e-16
CF_TN3044/central_no_unknown_root/257/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/central_no_unknown_root/257/PHYSICAL_QS_1/a_equals_sv,True,4.340102686202266e-16
CF_TN3044/central_no_unknown_root/257/PHYSICAL_QS_1/unit_gain_invariant,True,4.440892098500626e-16
CF_TN3044/central_no_unknown_root/257/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/central_no_unknown_root/257/BT_V_KINEMATIC_1/a_equals_sv,True,6.812325332993313e-16
CF_TN3044/central_no_unknown_root/257/BT_V_KINEMATIC_1/unit_gain_invariant,True,2.396682302503803e-16
CF_TN3044/central_no_unknown_root/513/analytic_ss,True,1.1107471775692459e-15
CF_TN3044/central_no_unknown_root/513/map_identity_not_calibration,True,1.1653856632071732e-15
CF_TN3044/central_no_unknown_root/513/FULL_2/kinematics,True,
CF_TN3044/central_no_unknown_root/513/FULL_2/a_equals_sv,True,1.0095708007179315e-15
CF_TN3044/central_no_unknown_root/513/FULL_2/unit_gain_invariant,True,4.449557262054371e-16
CF_TN3044/central_no_unknown_root/513/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/central_no_unknown_root/513/PHYSICAL_QS_1/a_equals_sv,True,5.364869121767644e-16
CF_TN3044/central_no_unknown_root/513/PHYSICAL_QS_1/unit_gain_invariant,True,4.443059973708341e-16
CF_TN3044/central_no_unknown_root/513/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/central_no_unknown_root/513/BT_V_KINEMATIC_1/a_equals_sv,True,6.812325332993313e-16
CF_TN3044/central_no_unknown_root/513/BT_V_KINEMATIC_1/unit_gain_invariant,True,3.356589068483857e-16
CF_TN3044/central/BT_V_KINEMATIC_1/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central/BT_V_KINEMATIC_1/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central/BT_V_KINEMATIC_1/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central/BT_V_KINEMATIC_1/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central/FULL_2/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central/FULL_2/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central/FULL_2/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central/FULL_2/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central/PHYSICAL_QS_1/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central/PHYSICAL_QS_1/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central/PHYSICAL_QS_1/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central/PHYSICAL_QS_1/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/BT_V_KINEMATIC_1/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/BT_V_KINEMATIC_1/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/BT_V_KINEMATIC_1/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/BT_V_KINEMATIC_1/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/FULL_2/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/FULL_2/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/FULL_2/True/normalized_complex_max/grid_consistency,True,0.0
