law,epsilonA,input,output,bandLow_rad_s,bandHigh_rad_s,budgetFraction,selectedStates,qualified,boundOverFixedGainScale,actualErrorOverFixedGainScale,maxKappa,enclosureCalls,maxDepthUsed
cf_mean,0.1,differential,accelerationUp,0.3,3,0.05,4,1,0.0496828244336685,0.00192437520271804,0.00302207197124038,48,1
cf_mean,0.1,differential,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0450329371008814,0.0288723692138492,0.00587308792546261,18,1
cf_mean,0.1,differential,accelerationUp,3,10,0.05,4,1,0.0443489855878945,0.00672254960329298,0.00338372504191473,12,0
cf_mean,0.1,differential,hubForceRightMinusLeft,3,10,0.05,7,0,0.153178869268055,0.105462003246662,0.00338372504191473,79,5
cf_mean,0.1,differential,accelerationUp,10,30,0.05,4,1,0.0498537391941789,0.0259928951845901,0.00359256466498506,33,2
cf_mean,0.1,differential,hubForceRightMinusLeft,10,30,0.05,7,0,0.67188430705353,0.540973488125605,0.00510293752392937,24,0
cf_mean,0.2,common,accelerationUp,0.3,3,0.05,4,1,0.0498711218074127,0.000517719798677117,0.00333753427625808,1119,6
cf_mean,0.2,common,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0496800672062946,0.00384315683227355,0.0063420526990706,198,3
cf_mean,0.2,common,accelerationUp,3,10,0.05,4,1,0.0472361988053146,0.00191855164960173,0.00784444485709036,93,2
cf_mean,0.2,common,hubForceRightMinusLeft,3,10,0.05,4,1,0.0494986247861541,0.0149699784419547,0.00765468852232938,54,2
cf_mean,0.2,common,accelerationUp,10,30,0.05,4,1,0.048570572846643,0.0091758305165033,0.0180284448088428,27,1
cf_mean,0.2,common,hubForceRightMinusLeft,10,30,0.05,7,0,0.190830332641579,0.0965545101133622,0.0203720834796986,133,5
cf_mean,0.2,mixed,accelerationUp,0.3,3,0.05,4,1,0.0498962281901405,0.000818112388596582,0.00338780487024645,1026,6
cf_mean,0.2,mixed,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0496401108193899,0.00607504449880319,0.0063420526990706,186,3
cf_mean,0.2,mixed,accelerationUp,3,10,0.05,4,1,0.0475334061811071,0.00295554414861559,0.00784444485709036,93,2
cf_mean,0.2,mixed,hubForceRightMinusLeft,3,10,0.05,4,1,0.0498602027518483,0.0230423439186627,0.00717765449837857,72,2
cf_mean,0.2,mixed,accelerationUp,10,30,0.05,4,1,0.0498322693678925,0.0130525057844421,0.0155864374693536,39,1
cf_mean,0.2,mixed,hubForceRightMinusLeft,10,30,0.05,7,0,0.236683243559474,0.136721661012996,0.0203720834796986,181,7
cf_mean,0.2,differential,accelerationUp,0.3,3,0.05,4,1,0.0496385819284761,0.00383409176147805,0.00586126311163756,273,4
cf_mean,0.2,differential,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0454654380231704,0.0284754984730467,0.0118465738784614,60,2
cf_mean,0.2,differential,accelerationUp,3,10,0.05,4,1,0.0497268591652198,0.0133929953703389,0.00669912671952675,105,2
cf_mean,0.2,differential,hubForceRightMinusLeft,3,10,0.05,7,0,0.166126952157519,0.104193437691471,0.0135319647433366,121,6
cf_mean,0.2,differential,accelerationUp,10,30,0.05,7,0,0.156569511327687,0.0518713071983657,0.0203720834796986,261,8
cf_mean,0.2,differential,hubForceRightMinusLeft,10,30,0.05,7,0,0.695936078770248,0.538724269256289,0.0203720834796986,24,0
