law,reduction,omega_rad_s,fullReal,fullImag,reducedReal,reducedImag
pp_mean,algebraic_coning,3.75837404288444,-93.6762730119584,-14.5295907702592,-87.2027012336398,-19.2359856202718
pp_mean,algebraic_coning,3.82384253658113,-94.0238438207514,-14.4898189001643,-87.3354769306028,-19.316408655134
pp_mean,algebraic_coning,3.89045144994281,-94.3822677660911,-14.4493110881341,-87.4711458762616,-19.4003708917124
pp_mean,algebraic_coning,3.95822064835722,-94.7519491897207,-14.4077815947254,-87.6098094027069,-19.4878057172046
pp_mean,algebraic_coning,4.02717034325459,-95.1333038939751,-14.3649280971291,-87.7515688546336,-19.5786436221259
pp_mean,algebraic_coning,4.09732109813542,-95.5267594425317,-14.3204306366203,-87.8965255137617,-19.6728120940553
pp_mean,algebraic_coning,4.16869383470335,-95.9327554555701,-14.2739504974412,-88.0447805151986,-19.7702355115587
pp_mean,algebraic_coning,4.24130983910488,-96.3517438974903,-14.2251290124497,-88.1964347555032,-19.8708350387149
pp_mean,algebraic_coning,4.31519076827765,-96.7841893550701,-14.1735862905303,-88.3515887922266,-19.9745285206943
pp_mean,algebraic_coning,4.39035865640945,-97.2305693036425,-14.1189198603897,-88.5103427347204,-20.0812303808766
pp_mean,algebraic_coning,4.46683592150963,-97.6913743585317,-14.0607032249701,-88.6727961260195,-20.1908515200188
pp_mean,algebraic_coning,4.54464537209509,-98.1671085086017,-13.9984843202849,-88.8390478156296,-20.3032992180227
pp_mean,algebraic_coning,4.6238102139926,-98.6582893283349,-13.9317838720334,-89.0091958230723,-20.4184770388758
pp_mean,algebraic_coning,4.70435405725976,-99.1654481643676,-13.8600936428602,-89.1833371920692,-20.5362847393761
pp_mean,algebraic_coning,4.78630092322638,-99.6891302918495,-13.7828745626119,-89.3615678352768,-20.6566181822801
pp_mean,algebraic_coning,4.86967525165863,-100.229895035367,-13.6995547333861,-89.5439823695175,-20.7793692545432
pp_mean,algebraic_coning,4.9545019080479,-100.788315848455,-13.6095273005813,-89.730673941494,-20.9044257913516
pp_mean,algebraic_coning,5.04080619102669,-101.364980344919,-13.5121481805261,-89.9217340440108,-21.0316715066727
pp_mean,algebraic_coning,5.12861383991365,-101.960490274274,-13.4067336346041,-90.1172523227781,-21.1609859310769
pp_mean,algebraic_coning,5.21795104239002,-102.57546143258,-13.2925576790855,-90.3173163739194,-21.292244357608
pp_mean,algebraic_coning,5.30884444230988,-103.210523498772,-13.1688493191336,-90.5220115323599,-21.4253177965008
pp_mean,algebraic_coning,5.40132114764635,-103.866319785287,-13.0347895946786,-90.7314206513306,-21.5600729395616
pp_mean,algebraic_coning,5.49540873857624,-104.543506890264,-12.8895084250318,-90.9456238732837,-21.696372135046
