time_s,wDown,accelerationDown,aeroThrust1,aeroThrust2,hubThrust1,hubThrust2,vi1,vi2,beta1,beta2,betaRate1,betaRate2
1.855,-0.261047190465162,-0.16712795163852,29921.3873871855,29921.3873871855,29921.3338549156,29921.3338549156,16.2813555373797,16.2813555373797,0.0343399284955948,0.0343399284955948,-0.000101117067630783,-0.000101117067630783
1.86,-0.261882413935972,-0.166961752502996,29920.8943266731,29920.8943266731,29920.835257509,29920.835257509,16.2808034513814,16.2808034513814,0.0343394256296053,0.0343394256296053,-0.000100011337193682,-0.000100011337193682
1.865,-0.262716811243087,-0.166797499554309,29920.4020424855,29920.4020424855,29920.3424986629,29920.3424986629,16.280251589101,16.280251589101,0.0343389284795467,0.0343389284795467,-9.88471665189765e-05,-9.88471665189765e-05
1.87,-0.263550392181064,-0.166635191153173,29919.9108387012,29919.9108387012,29919.8555734595,29919.8555734595,16.279700015156,16.279700015156,0.0343384370942129,0.0343384370942129,-9.77209109224903e-05,-9.77209109224903e-05
1.875,-0.264383166143088,-0.166474671442101,29919.4209452804,29919.4209452804,29919.3740143263,29919.3740143263,16.2791488117126,16.2791488117126,0.0343379510622875,0.0343379510622875,-9.67189954683136e-05,-9.67189954683136e-05
1.88,-0.265215141405473,-0.166315654446284,29918.9325033261,29918.9325033261,29918.8969633388,29918.8969633388,16.2785980701395,16.2785980701395,0.0343374695796182,0.0343374695796182,-9.59111488481508e-05,-9.59111488481508e-05
1.885,-0.266046324557944,-0.166157757728069,29918.4455590286,29918.4455590286,29918.4232731842,29918.4232731842,16.2780478824453,16.2780478824453,0.0343369915457147,0.0343369915457147,-9.53455453656357e-05,-9.53455453656357e-05
1.89,-0.266876720118725,-0.166000542031479,29917.9600662128,29917.9600662128,29917.9516260944,29917.9516260944,16.2774983332544,16.2774983332544,0.034336515679125,0.034336515679125,-9.50461419459395e-05,-9.50461419459395e-05
1.895,-0.26770633035486,-0.16584355308335,29917.4758966754,29917.4758966754,29917.48065925,29917.48065925,16.2769494929748,16.2769494929748,0.0343360406404333,0.0343360406404333,-9.50122879387405e-05,-9.50122879387405e-05
1.9,-0.268535155309036,-0.1656863617969,29916.9928568804,29916.9928568804,29917.0090853907,29917.0090853907,16.2764014126643,16.2764014126643,0.0343355651517462,0.0343355651517462,-9.52204840923973e-05,-9.52204840923973e-05
1.905,-0.26936319301633,-0.16552859952109,29916.5107091335,29916.5107091335,29916.5357985633,29916.5357985633,16.2758541209222,16.2758541209222,0.0343350881026034,0.0343350881026034,-9.56279902839234e-05,-9.56279902839234e-05
1.91,-0.27019043987902,-0.165369985638685,29916.0291950993,29916.0291950993,29916.0599569161,29916.0599569161,16.2753076229319,16.2753076229319,0.0343346086341208,0.0343346086341208,-9.6177842936983e-05,-9.6177842936983e-05
