theta0_deg,memory,time_s,V4_CT,OFF_CT,V4_non_eq_CT,OFF_non_eq_CT
7,PP,0.468,0.0101039548930503,0.0101039497381167,-4.51069496528594e-08,-5.02618833168184e-08
7,PP,0.47,0.010103958982218,0.0101039542007059,-4.10177819817198e-08,-4.57992941071961e-08
7,PP,0.472,0.0101039626968442,0.0101039582652825,-3.7303155760518e-08,-4.17347174666571e-08
7,PP,0.474,0.0101039660724324,0.0101039619658934,-3.39275676494027e-08,-3.8034106582957e-08
7,PP,0.476,0.0101039691426192,0.0101039653349899,-3.08573807634299e-08,-3.4665010126278e-08
7,PP,0.478,0.0101039719390153,0.0101039684034278,-2.80609847060076e-08,-3.15965721937178e-08
7,PP,0.48,0.0101039744867873,0.0101039712004677,-2.55132126762009e-08,-2.8799532333576e-08
7,PP,0.482,0.0101039768050462,0.010103973753616,-2.31949537597698e-08,-2.62463840175475e-08
7,PP,0.484,0.0101039789120654,0.0101039760846902,-2.10879346294185e-08,-2.39153097793959e-08
7,PP,0.486,0.0101039808255034,0.0101039782103718,-1.91744966293594e-08,-2.17896281590885e-08
7,PP,0.488,0.0101039825624044,0.0101039801466456,-1.74375956452089e-08,-1.98533543858265e-08
7,PP,0.49,0.0101039841391978,0.0101039819089694,-1.58608022115397e-08,-1.80910306093324e-08
7,PP,0.492,0.0101039855716985,0.0101039835122741,-1.44283014598401e-08,-1.64877259449525e-08
7,PP,0.494,0.0101039868751069,0.0101039849709636,-1.31248931480032e-08,-1.50290364337585e-08
7,PP,0.496,0.0101039880638764,0.010103986298915,-1.19361236294163e-08,-1.37010850460167e-08
7,PP,0.498,0.0101039891482827,0.0101039875094783,-1.08517172608957e-08,-1.24905217037397e-08
7,PP,0.5,0.0101039901356252,0.0101039886154572,-9.86437480830771e-09,-1.13845427859166e-08
7,PP,0.502,0.0101039910331914,0.010103989626601,-8.9668085751643e-09,-1.0373398974875e-08
7,PP,0.504,0.0101039918481101,0.0101039905493705,-8.15188987320081e-09,-9.45062949252173e-09
7,PP,0.506,0.0101039925873508,0.0101039913902779,-7.4126491837051e-09,-8.60972212794742e-09
7,PP,0.508,0.0101039932577239,0.010103992155678,-6.7422760725161e-09,-7.84432202700913e-09
7,PP,0.51,0.0101039938658808,0.0101039928517683,-6.13411924206553e-09,-7.14823170967771e-09
7,PP,0.512,0.0101039944183135,0.0101039934845889,-5.58168647413204e-09,-6.51541108391551e-09
7,PP,0.514,0.0101039949213553,0.0101039940600226,-5.07864467320929e-09,-5.93997739883889e-09
7,PP,0.516,0.0101039953810535,0.0101039945837947,-4.61894654642248e-09,-5.41620529502518e-09
7,PP,0.518,0.0101039958006883,0.0101039950614732,-4.19931166055487e-09,-4.93852679410434e-09
7,PP,0.52,0.0101039961827622,0.0101039954984526,-3.81723777066745e-09,-4.50154738658448e-09
7,PP,0.522,0.0101039965300952,0.0101039958982676,-3.46990475241782e-09,-4.10173240338041e-09
7,PP,0.524,0.010103996845446,0.0101039962631386,-3.15455399475806e-09,-3.7368613932387e-09
7,PP,0.526,0.0101039971315115,0.0101039965956407,-2.86848851442645e-09,-3.40435934477468e-09
7,PP,0.528,0.0101039973909272,0.0101039968982865,-2.60907284839462e-09,-3.10171351276811e-09
7,PP,0.53,0.0101039976262669,0.0101039971735266,-2.37373314060374e-09,-2.82647335397845e-09
7,PP,0.532,0.0101039978400429,0.0101039974237494,-2.15995708124916e-09,-2.57625058265598e-09
7,PP,0.534,0.0101039980347061,0.0101039976512809,-1.96529393627076e-09,-2.34871908727508e-09
7,PP,0.536,0.0101039982125964,0.010103997858385,-1.78740359492446e-09,-2.14161504155652e-09
7,PP,0.538,0.0101039983749834,0.0101039980472632,-1.62501659697889e-09,-1.95273678824104e-09
7,PP,0.54,0.0101039985228353,0.0101039982200487,-1.47716466662728e-09,-1.77995131307729e-09
7,PP,0.542,0.0101039986572435,0.010103998378139,-1.34275647545312e-09,-1.6218609805857e-09
7,PP,0.544,0.0101039987792755,0.0101039985224122,-1.2207245197321e-09,-1.47758779343865e-09
7,PP,0.546,0.0101039988899748,0.0101039986538864,-1.11002515339187e-09,-1.34611357997805e-09
7,PP,0.548,0.0101039989903615,0.0101039987735552,-1.00963852209257e-09,-1.22644476692468e-09
7,PP,0.55,0.0101039990814314,0.0101039988823876,-9.18568618737958e-10,-1.11761240192965e-09
7,PP,0.552,0.0101039991641568,0.0101039989813279,-8.35843233168432e-10,-1.01867212755347e-09
7,PP,0.554,0.010103999239486,0.0101039990712958,-7.60514030223591e-10,-9.28704174327222e-10
7,PP,0.556,0.0101039993083246,0.0101039991531866,-6.91675414860038e-10,-8.46813419733139e-10
7,PP,0.558,0.0101039993711638,0.0101039992278707,-6.28836181043591e-10,-7.72129299733693e-10
7,PP,0.56,0.0101039994283784,0.0101039992961916,-5.71621588604798e-10,-7.03808403917927e-10
7,PP,0.562,0.0101039994803906,0.0101039993587019,-5.19609374624586e-10,-6.41298094489207e-10
7,PP,0.564,0.0101039995276136,0.0101039994157488,-4.72386399094638e-10,-5.84251213381348e-10
7,PP,0.566,0.0101039995704512,0.0101039994677348,-4.29548830532811e-10,-5.32265150357536e-10
7,PP,0.568,0.010103999609298,0.0101039995150529,-3.90702000266363e-10,-4.84947053000506e-10
7,PP,0.57,0.0101039996445395,0.0101039995580862,-3.55460478759784e-10,-4.41913776405567e-10
7,PP,0.572,0.0101039996765519,0.0101039995972081,-3.23448061737008e-10,-4.02791928283408e-10
7,PP,0.574,0.0101039997057023,0.0101039996327822,-2.94297745895289e-10,-3.67217803040609e-10
7,PP,0.576,0.0101039997323409,0.0101039996651625,-2.67659127500819e-10,-3.34837482393602e-10
7,PP,0.578,0.0101039997566579,0.0101039996946933,-2.43342087799525e-10,-3.05306719142195e-10
7,PP,0.58,0.0101039997787984,0.010103999721708,-2.21201638603286e-10,-2.78292042188433e-10
7,PP,0.582,0.0101039997989256,0.0101039997464251,-2.01074355082875e-10,-2.53574912803534e-10
7,PP,0.584,0.0101039998171996,0.0101039997689819,-1.828003911436e-10,-2.31018079666079e-10
7,PP,0.586,0.0101039998337766,0.0101039997895377,-1.66223439526658e-10,-2.10462324651273e-10
7,PP,0.588,0.0101039998488092,0.0101039998082477,-1.51190794259182e-10,-1.91752337966311e-10
7,PP,0.59,0.0101039998624467,0.0101039998252634,-1.3755330034726e-10,-1.74736596719738e-10
7,PP,0.592,0.0101039998748346,0.0101039998407325,-1.25165393674576e-10,-1.59267469004853e-10
7,PP,0.594,0.010103999886115,0.0101039998547988,-1.13885038552364e-10,-1.45201154919117e-10
7,PP,0.596,0.0101039998964234,0.0101039998676023,-1.03576624707613e-10,-1.32397681359975e-10
7,PP,0.598,0.0101039999058334,0.010103999879279,-9.4166610273283e-11,-1.20720973148525e-10
7,PP,0.6,0.0101039999144011,0.0101039998899609,-8.55988752102022e-11,-1.10039127115824e-10
7,PP,0.602,0.0101039999221898,0.0101039998997342,-7.78101680309895e-11,-1.00265754032769e-10
7,PP,0.604,0.0101039999292614,0.0101039999086534,-7.07386493131734e-11,-9.13465796059665e-11
7,PP,0.606,0.0101039999356762,0.0101039999167813,-6.43238396574874e-11,-8.3218652455197e-11
