source,theta_report_deg,offset_deg,memory,omega_rad_s,G_real_CT_per_rad,G_imag_CT_per_rad,static_slope_CT_per_rad
OFF,7,-1,PP,3.34965439157828,0.0532041538910271,0.00173170568976815,0.0530805398248293
OFF,7,-1,PP,3.54813389233576,0.0532191513440406,0.00183318170733051,0.0530805398248293
OFF,7,-1,PP,3.75837404288444,0.0532359567032289,0.00194045856311548,0.0530805398248293
OFF,7,-1,PP,3.98107170553497,0.053254784912612,0.00205384060144771,0.0530805398248293
OFF,7,-1,PP,4.21696503428582,0.0532758757030785,0.0021736429700226,0.0530805398248293
OFF,7,-1,PP,4.46683592150963,0.0532994962535435,0.00230019096015441,0.0530805398248293
OFF,7,-1,PP,4.73151258961481,0.0533259440866392,0.00243381908333582,0.0530805398248293
OFF,7,-1,PP,5.01187233627272,0.0533555502057647,0.00257486983268327,0.0530805398248293
OFF,7,-1,PP,5.30884444230988,0.0533886824761296,0.00272369207009146,0.0530805398248293
OFF,7,-1,PP,5.62341325190349,0.0534257492466568,0.00288063897144149,0.0530805398248293
OFF,7,-1,PP,5.9566214352901,0.0534672032018966,0.0030460654530828,0.0530805398248293
OFF,7,-1,PP,6.30957344480193,0.053513545422997,0.00322032499319525,0.0530805398248293
OFF,7,-1,PP,6.68343917568615,0.0535653296237876,0.0034037657517905,0.0530805398248293
OFF,7,-1,PP,7.07945784384138,0.0536231665115954,0.0035967258834203,0.0530805398248293
OFF,7,-1,PP,7.49894209332456,0.0536877282019409,0.00379952792768458,0.0530805398248293
OFF,7,-1,PP,7.94328234724281,0.0537597525911208,0.00401247215515341,0.0530805398248293
OFF,7,-1,PP,8.41395141645195,0.0538400475602789,0.00423582874138297,0.0530805398248293
OFF,7,-1,PP,8.91250938133745,0.0539294948483768,0.00446982864069277,0.0530805398248293
OFF,7,-1,PP,9.44060876285924,0.0540290533891354,0.00471465303603359,0.0530805398248293
OFF,7,-1,PP,10,0.0541397618584665,0.00497042125379579,0.0530805398248293
OFF,7,-1,PP,10.5925372517729,0.0542627401245214,0.00523717705542162,0.0530805398248293
OFF,7,-1,PP,11.2201845430196,0.0543991892332976,0.00551487325427383,0.0530805398248293
OFF,7,-1,PP,11.8850222743702,0.0545503895007065,0.00580335465983657,0.0530805398248293
OFF,7,-1,PP,12.5892541179417,0.0547176962202699,0.00610233942566661,0.0530805398248293
OFF,7,-1,PP,13.3352143216332,0.0549025324388703,0.00641139897620911,0.0530805398248293
OFF,7,-1,PP,14.1253754462275,0.0551063782077322,0.00672993681379085,0.0530805398248293
OFF,7,-1,PP,14.9623565609443,0.0553307556906672,0.00705716666284371,0.0530805398248293
OFF,7,-1,PP,15.8489319246111,0.0555772095173447,0.00739209059376603,0.0530805398248293
OFF,7,-1,PP,16.7880401812256,0.0558472818187318,0.0077334779808496,0.0530805398248293
OFF,7,-1,PP,17.7827941003892,0.0561424814891184,0.00807984638017087,0.0530805398248293
OFF,7,-1,PP,18.836490894898,0.0564642473988458,0.00842944565150305,0.0530805398248293
OFF,7,-1,PP,19.9526231496888,0.0568139055470355,0.00878024687370323,0.0530805398248293
OFF,7,-1,PP,21.1348903983665,0.0571926205031935,0.00912993778887356,0.0530805398248293
OFF,7,-1,PP,22.3872113856834,0.0576013419420324,0.0094759266229856,0.0530805398248293
OFF,7,-1,PP,23.7137370566166,0.0580407476174072,0.00981535613019666,0.0530805398248293
OFF,7,-1,PP,25.1188643150958,0.0585111847240361,0.0101451295533291,0.0530805398248293
OFF,7,-1,PP,26.6072505979881,0.0590126122168315,0.0104619498460195,0.0530805398248293
OFF,7,-1,PP,28.1838293126445,0.0595445472354537,0.0107623729360932,0.0530805398248293
OFF,7,-1,PP,29.8538261891796,0.0601060192377923,0.0110428750181295,0.0530805398248293
OFF,7,-1,PP,31.6227766016838,0.0606955356921614,0.0112999328683483,0.0530805398248293
OFF,7,-1,PP,33.4965439157828,0.0613110631270775,0.0115301150351829,0.0530805398248293
