case_id,method,nonequilibrium_relative_RMSE,delta_CT_relative_RMSE,nonequilibrium_peak_relative_difference,single_run_seconds
49,LUT,0.000192329058723663,3.25311695788342e-05,7.1500304863893e-05,0.0099002
49,LTI_EXACT,0.416703854455518,0.0704826605163356,-0.0839878976080604,0.0005917
49,SCHEDULED_EXACT,0.00123221643078092,0.000208421139964889,-0.00176052343155862,0.0006565
49,QS,1,0.169143289083397,-1,0.0003683
50,DIRECT,0,0,0,0.7108681
50,LUT,0.000194755270489907,3.82992080109491e-05,7.1500304863893e-05,0.0121586
50,LTI_EXACT,0.360195937263193,0.0708336112868211,-0.113531425247736,0.0004236
50,SCHEDULED_EXACT,0.00118356822881369,0.000232752241705496,-0.00176052343155862,0.0005433
50,QS,1,0.196652998990001,-1,0.0003302
51,DIRECT,0,0,0,0.9221631
51,LUT,0.000193449866921167,1.57586800978751e-05,7.1500304863893e-05,0.0121982
51,LTI_EXACT,0.854849730543044,0.0696371811972983,-0.0784166416165595,0.0003881
51,SCHEDULED_EXACT,0.00123718061395233,0.000100782356839317,-0.00176052343155862,0.0006959
51,QS,1,0.081461312683647,-1,0.0004548
52,DIRECT,0,0,0,0.8285089
52,LUT,0.000197015009366595,1.95146917214639e-05,7.1500304863893e-05,0.0067586
52,LTI_EXACT,0.704380302099512,0.0697701382972614,-0.0784167156227097,0.0005024
52,SCHEDULED_EXACT,0.00121136985540528,0.000119988367205674,-0.00176052343155862,0.0005237
52,QS,1,0.0990518021149952,-1,0.0003961
53,DIRECT,0,0,0,1.6422782
53,LUT,0.00019344986693152,7.99541376832804e-06,7.1500304863893e-05,0.0131606
53,LTI_EXACT,1.68016732910137,0.0694424514695968,-0.0784166416091151,0.0006948
53,SCHEDULED_EXACT,0.00123718061386028,5.11335110789644e-05,-0.00176052343155862,0.0007015
53,QS,1,0.0413306759790038,-1,0.0005058
54,DIRECT,0,0,0,1.197339
54,LUT,0.000197015099880731,9.97541430392499e-06,7.1500304863893e-05,0.0125191
54,LTI_EXACT,1.37220172967763,0.0694783332363026,-0.0784166416091151,0.000755
54,SCHEDULED_EXACT,0.00121136992141987,6.13349781249843e-05,-0.00176052343155862,0.0005505
54,QS,1,0.0506327398761003,-1,0.0005009
55,DIRECT,0,0,0,0.5070271
55,LUT,0.00053297060796824,8.96882626121588e-05,0.000342452265711568,0.0048612
55,LTI_EXACT,0.165680480423471,0.0278807015166855,-0.0362706980438972,0.0005263
