time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
1.23,-0.186978118298137,-0.186978118298142,29983.2746552723,29983.2746552723
1.235,-0.186834492898525,-0.18683449289853,29982.573020087,29982.573020087
1.24,-0.186759178402383,-0.186759178402383,29981.9135395582,29981.9135395582
1.245,-0.186737451486253,-0.186737451486251,29981.302884428,29981.302884428
1.25,-0.186751106855068,-0.186751106855062,29980.7429775459,29980.7429775459
1.255,-0.186780322726325,-0.186780322726319,29980.2312056171,29980.2312056171
1.26,-0.186805520595363,-0.186805520595358,29979.7610095178,29979.7610095178
1.265,-0.186809055527395,-0.186809055527388,29979.3227734454,29979.3227734454
1.27,-0.186776597409649,-0.186776597409644,29978.9049072893,29978.9049072893
1.275,-0.186698117186557,-0.186698117186551,29978.4950152777,29978.4950152777
1.28,-0.186568418017265,-0.186568418017258,29978.0810423241,29978.0810423241
1.285,-0.186387201885596,-0.186387201885592,29977.6522981897,29977.6522981897
1.29,-0.186158703649733,-0.186158703649729,29977.2002805918,29977.2002805918
1.295,-0.185890958662875,-0.185890958662877,29976.7192423073,29976.7192423073
1.3,-0.185594798457109,-0.185594798457115,29976.2064715508,29976.2064715508
1.305,-0.18528268138803,-0.185282681388038,29975.6622860386,29975.6622860386
1.31,-0.184967476404916,-0.184967476404922,29975.0897628867,29975.0897628867
1.315,-0.184661306827253,-0.184661306827263,29974.4942495313,29974.4942495313
1.32,-0.184374551822795,-0.184374551822805,29973.882714854,29973.882714854
1.325,-0.184115081925508,-0.184115081925517,29973.2630120953,29973.2630120953
1.33,-0.183887772529848,-0.183887772529857,29972.6431232256,29972.6431232256
1.335,-0.183694317825489,-0.183694317825493,29972.0304517947,29972.0304517947
1.34,-0.183533337768256,-0.183533337768254,29971.431223308,29971.431223308
1.345,-0.183400744274102,-0.183400744274102,29970.8500368116,29970.8500368116
1.35,-0.183290314532088,-0.183290314532082,29970.2895933564,29970.2895933564
1.355,-0.183194404854768,-0.18319440485476,29969.7506122621,29969.7506122621
1.36,-0.183104730727034,-0.183104730727024,29969.2319269215,29969.2319269215
1.365,-0.183013141216192,-0.183013141216183,29968.7307373185,29968.7307373185
1.37,-0.182912319065434,-0.182912319065424,29968.2429849232,29968.2429849232
1.375,-0.182796352805463,-0.182796352805455,29967.7638076245,29967.7638076245
1.38,-0.18266113938092,-0.182661139380912,29967.2880279145,29967.2880279145
1.385,-0.182504597619508,-0.182504597619499,29966.8106296025,29966.8106296025
1.39,-0.182326688189587,-0.182326688189579,29966.3271827016,29966.3271827016
1.395,-0.182129253532697,-0.182129253532688,29965.8341829694,29965.8341829694
1.4,-0.18191570654857,-0.181915706548567,29965.3292834047,29965.3292834047
1.405,-0.181690607234361,-0.181690607234361,29964.8114063518,29964.8114063518
1.41,-0.181459173119963,-0.181459173119966,29964.2807359849,29964.2807359849
1.415,-0.181226771393252,-0.181226771393255,29963.738601253,29963.738601253
1.42,-0.18099843871213,-0.180998438712133,29963.1872683001,29963.1872683001
1.425,-0.180778468218022,-0.180778468218029,29962.6296677519,29962.6296677519
1.43,-0.180570094506584,-0.18057009450659,29962.0690858585,29962.0690858585
1.435,-0.180375296123522,-0.180375296123529,29961.50884936,29961.50884936
1.44,-0.180194723390062,-0.180194723390067,29960.9520319605,29960.9520319605
1.445,-0.180027747935618,-0.180027747935622,29960.4012063686,29960.4012063686
1.45,-0.179872619834018,-0.179872619834021,29959.8582599177,29959.8582599177
1.455,-0.179726709982409,-0.179726709982409,29959.3242847333,29959.3242847333
1.46,-0.179586809739321,-0.179586809739318,29958.7995460304,29958.7995460304
1.465,-0.179449457297209,-0.179449457297207,29958.2835250665,29958.2835250665
1.47,-0.179311259887637,-0.179311259887635,29957.7750271153,29957.7750271153
1.475,-0.179169184242282,-0.179169184242279,29957.2723397226,29957.2723397226
1.48,-0.179020792440635,-0.179020792440632,29956.7734234779,29956.7734234779
1.485,-0.178864406957801,-0.178864406957801,29956.276116047,29956.276116047
1.49,-0.178699196178089,-0.178699196178089,29955.7783306412,29955.7783306412
1.495,-0.178525179206707,-0.178525179206709,29955.2782319396,29955.2782319396
1.5,-0.1783431561496,-0.1783431561496,29954.7743760554,29954.7743760554
1.505,-0.178154575823444,-0.178154575823448,29954.2658051387,29954.2658051387
1.51,-0.177961357427186,-0.177961357427192,29953.7520920378,29953.7520920378
1.515,-0.177765685457874,-0.177765685457883,29953.2333350458,29953.2333350459
1.52,-0.177569797891841,-0.17756979789185,29952.7101072529,29952.7101072529
1.525,-0.177375786646575,-0.177375786646583,29952.1833685233,29952.1833685233
1.53,-0.177185426750361,-0.177185426750368,29951.6543507745,29951.6543507745
1.535,-0.177000046826589,-0.177000046826594,29951.1244287002,29951.1244287002
1.54,-0.176820448886417,-0.176820448886422,29950.5949883811,29950.5949883811
1.545,-0.17664688048222,-0.176646880482223,29950.0673054139,29950.0673054139
1.55,-0.176479057461769,-0.176479057461771,29949.542442431,29949.542442431
1.555,-0.176316231289431,-0.176316231289433,29949.0211733969,29949.0211733969
1.56,-0.17615729149516,-0.176157291495162,29948.5039391464,29948.5039391464
1.565,-0.176000891502662,-0.176000891502664,29947.9908355418,29947.9908355418
1.57,-0.175845584988415,-0.175845584988415,29947.4816326739,29947.4816326739
1.575,-0.175689960032463,-0.175689960032463,29946.975820946,29946.975820946
1.58,-0.175532759533856,-0.175532759533854,29946.4726778724,29946.4726778724
1.585,-0.175372978484198,-0.175372978484192,29945.971348104,29945.971348104
1.59,-0.175209931464405,-0.175209931464401,29945.4709286423,29945.4709286423
1.595,-0.175043286858552,-0.175043286858552,29944.9705513928,29944.9705513928
1.6,-0.174873067462858,-0.174873067462859,29944.4694560678,29944.4694560678
1.605,-0.174699620125576,-0.174699620125576,29943.967047851,29943.967047851
1.61,-0.174523559544472,-0.174523559544471,29943.4629360129,29943.4629360129
1.615,-0.174345693193036,-0.174345693193036,29942.9569516308,29942.9569516308
1.62,-0.174166935435182,-0.174166935435182,29942.4491445411,29942.4491445411
1.625,-0.173988219186521,-0.173988219186523,29941.9397614502,29941.9397614502
1.63,-0.173810413025666,-0.17381041302567,29941.4292086213,29941.4292086213
1.635,-0.173634250551091,-0.173634250551094,29940.9180036273,29940.9180036273
1.64,-0.173460277166926,-0.173460277166929,29940.406721253,29940.406721253
1.645,-0.173288817545836,-0.173288817545841,29939.8959387344,29939.8959387344
1.65,-0.173119964953177,-0.17311996495318,29939.386185166,29939.386185166
1.655,-0.172953591614539,-0.172953591614541,29938.8778991563,29938.8778991563
1.66,-0.172789377538423,-0.172789377538423,29938.3713977656,29938.3713977656
1.665,-0.172626853802596,-0.172626853802596,29937.8668585334,29937.8668585334
1.67,-0.172465455370309,-0.172465455370303,29937.3643151161,29937.3643151161
1.675,-0.172304578065758,-0.172304578065757,29936.8636658263,29936.8636658263
1.68,-0.172143634405197,-0.172143634405195,29936.3646932972,29936.3646932972
1.685,-0.171982103504163,-0.171982103504162,29935.867092665,29935.867092665
1.69,-0.171819571180654,-0.171819571180652,29935.3705051303,29935.3705051303
1.695,-0.171655757539922,-0.171655757539919,29934.8745535393,29934.8745535393
1.7,-0.171490530635912,-0.171490530635909,29934.3788767196,29934.3788767196
1.705,-0.171323906131571,-0.17132390613157,29933.8831596739,29933.8831596739
1.71,-0.171156034108037,-0.171156034108037,29933.3871573294,29933.3871573294
1.715,-0.170987175201872,-0.170987175201869,29932.8907102867,29932.8907102867
1.72,-0.170817669006273,-0.170817669006271,29932.3937518339,29932.3937518339
1.725,-0.170647898112197,-0.170647898112191,29931.8963063125,29931.8963063125
1.73,-0.170478251275545,-0.170478251275541,29931.3984796716,29931.3984796715
1.735,-0.170309088993951,-0.170309088993949,29930.9004436567,29930.9004436567
1.74,-0.170140714303615,-0.170140714303615,29930.4024155245,29930.4024155245
1.745,-0.169973350926404,-0.169973350926405,29929.90463541,29929.90463541
1.75,-0.169807130085589,-0.169807130085592,29929.4073435082,29929.4073435082
1.755,-0.169642086446914,-0.169642086446916,29928.9107590774,29928.9107590774
1.76,-0.169478162808804,-0.169478162808806,29928.4150629485,29928.4150629485
1.765,-0.169315222432459,-0.169315222432461,29927.920384787,29927.920384787
1.77,-0.169153067324643,-0.169153067324648,29927.4267958381,29927.4267958381
1.775,-0.168991460401753,-0.168991460401758,29926.9343073492,29926.9343073492
1.78,-0.168830149290707,-0.168830149290712,29926.4428743527,29926.4428743527
1.785,-0.168668889559233,-0.168668889559238,29925.9524040516,29925.9524040516
1.79,-0.168507465394301,-0.168507465394301,29925.4627677062,29925.4627677062
1.795,-0.168345706128822,-0.168345706128818,29924.9738147055,29924.9738147055
1.8,-0.168183497506921,-0.168183497506918,29924.4853874209,29924.4853874209
1.805,-0.16802078712595,-0.168020787125945,29923.997335484,29923.997335484
1.81,-0.1678575840464,-0.167857584046396,29923.5095282875,29923.5095282875
1.815,-0.167693953070538,-0.167693953070534,29923.0218647627,29923.0218647627
1.82,-0.167530004615523,-0.167530004615515,29922.5342797967,29922.5342797967
1.825,-0.167365881417088,-0.167365881417082,29922.0467469999,29922.0467469999
1.83,-0.167201743477633,-0.167201743477623,29921.5592778727,29921.5592778727
1.835,-0.167037752712295,-0.167037752712289,29921.0719177342,29921.0719177342
1.84,-0.166874058656975,-0.166874058656971,29920.5847390253,29920.5847390252
1.845,-0.166710786400116,-0.166710786400115,29920.0978327819,29920.0978327819
1.85,-0.166548027613359,-0.166548027613355,29919.6112991685,29919.6112991685
1.855,-0.166385835215551,-0.166385835215549,29919.1252379717,29919.1252379717
1.86,-0.16622422184495,-0.16622422184495,29918.6397398891,29918.6397398891
1.865,-0.166063161968162,-0.166063161968163,29918.1548793071,29918.1548793071
1.87,-0.16590259715073,-0.165902597150733,29917.6707090802,29917.6707090801
1.875,-0.165742443776563,-0.165742443776565,29917.1872576066,29917.1872576066
1.88,-0.16558260234664,-0.165582602346641,29916.7045282722,29916.7045282722
1.885,-0.16542296741935,-0.165422967419353,29916.22250112,29916.22250112
1.89,-0.165263437273814,-0.165263437273817,29915.7411364241,29915.7411364241
1.895,-0.165103922475192,-0.165103922475194,29915.2603797012,29915.2603797012
1.9,-0.164944352682601,-0.1649443526826,29914.7801676095,29914.7801676095
1.905,-0.164784681246219,-0.16478468124622,29914.3004341481,29914.300434148
