time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
0.86,-0.227707927055994,-0.227707927055989,30030.8868460977,30030.8868460977
0.865,-0.22849689458126,-0.228496894581256,30034.9956946951,30034.9956946951
0.87,-0.226990675597379,-0.226990675597382,30038.1729176549,30038.1729176549
0.875,-0.223460818318877,-0.223460818318884,30040.1581022111,30040.1581022111
0.88,-0.218334598799091,-0.218334598799099,30040.8116705306,30040.8116705306
0.885,-0.212147415555549,-0.212147415555557,30040.1185672926,30040.1185672926
0.89,-0.20548916475553,-0.205489164755535,30038.1809514327,30038.1809514327
0.895,-0.19894959430553,-0.198949594305538,30035.2012742613,30035.2012742613
0.9,-0.193067484455068,-0.193067484455078,30031.4578869388,30031.4578869388
0.905,-0.188287709029657,-0.188287709029663,30027.2757868971,30027.2757868971
0.91,-0.18492936886817,-0.184929368868169,30022.9953697239,30022.9953697239
0.915,-0.183166970941503,-0.1831669709415,30018.9420189549,30018.9420189549
0.92,-0.183025374213477,-0.183025374213472,30015.3990954961,30015.3990954961
0.925,-0.184387987570503,-0.184387987570496,30012.5864185104,30012.5864185104
0.93,-0.187016597017335,-0.187016597017326,30010.6457108439,30010.6457108438
0.935,-0.190580310885936,-0.190580310885927,30009.6337802473,30009.6337802473
0.94,-0.194690492535385,-0.194690492535374,30009.5234892093,30009.5234892093
0.945,-0.198938265034893,-0.198938265034887,30010.2118924616,30010.2118924616
0.95,-0.202931161310739,-0.202931161310731,30011.5343459726,30011.5343459726
0.955,-0.20632583243839,-0.206325832438385,30013.2829613093,30013.2829613093
0.96,-0.208854256899174,-0.208854256899172,30015.2275139913,30015.2275139913
0.965,-0.210341644811519,-0.210341644811518,30017.13683671,30017.13683671
0.97,-0.210715064568714,-0.210715064568715,30018.7988165308,30018.7988165308
0.975,-0.210002691203205,-0.210002691203206,30020.0373700961,30020.0373700961
0.98,-0.208324387888234,-0.208324387888238,30020.7251388736,30020.7251388736
0.985,-0.205875034038177,-0.205875034038184,30020.7911049795,30020.7911049795
0.99,-0.202902535692513,-0.202902535692525,30020.222821642,30020.222821642
0.995,-0.199682788381938,-0.199682788381951,30019.063438222,30019.063438222
1,-0.1964939487274,-0.196493948727414,30017.4041347365,30017.4041347365
1.005,-0.193592298449471,-0.193592298449488,30015.3729383279,30015.3729383279
1.01,-0.191191658883235,-0.191191658883252,30013.1211369537,30013.1211369537
1.015,-0.189447888298204,-0.189447888298218,30010.8086259287,30010.8086259287
1.02,-0.188449450456462,-0.188449450456476,30008.5895280279,30008.5895280279
1.025,-0.188214444643064,-0.188214444643072,30006.5993041606,30006.5993041606
1.03,-0.18869390858784,-0.188693908587848,30004.9443663796,30004.9443663796
1.035,-0.189780675668782,-0.189780675668789,30003.6949114512,30003.6949114512
1.04,-0.191322638119634,-0.191322638119636,30002.8813727385,30002.8813727385
1.045,-0.193138971083345,-0.193138971083346,30002.4945449471,30002.4945449471
1.05,-0.195037698581821,-0.195037698581815,30002.489114043,30002.489114043
1.055,-0.196833037992202,-0.196833037992198,30002.7900633706,30002.7900633706
1.06,-0.198360971794418,-0.198360971794408,30003.3011895376,30003.3011895376
1.065,-0.19949189442339,-0.199491894423378,30003.9148620722,30003.9148620722
1.07,-0.200139407558884,-0.200139407558876,30004.5220930785,30004.5220930785
1.075,-0.200264782714521,-0.200264782714514,30005.0220281765,30005.0220281765
1.08,-0.199877005458727,-0.19987700545872,30005.3300806329,30005.3300806329
1.085,-0.19902870213448,-0.199028702134478,30005.3841012449,30005.3841012449
1.09,-0.197808585140126,-0.197808585140126,30005.1481864234,30005.1481864234
