origin_index,origin_time_s,requested_horizon_s,target_time_s,initial_observed_g,target_observed_g,source_known_g,hold_current_g,source_future_command_held_g,prefix_fit_known_g
8,18.796781756909184,2.0,20.88399149640101,0.0022961084413941,-0.0336719278697938,-0.03952316137073157,0.0022961084413941,0.001844224170510611,-0.048657704959989355
8,18.796781756909184,5.0,23.80696693576502,0.0022961084413941,-0.0420989671271643,-0.04573570783203932,0.0022961084413941,0.0013568234431000725,-0.05784862331571791
9,18.88701287160523,0.5,19.43578210552939,-0.0003985207565742,-0.0004231292424003,-0.0032511240284372445,-0.0003985207565742,-0.0003762067329890304,-0.003869646848331635
9,18.88701287160523,2.0,20.9712490857264,-0.0003985207565742,-0.0428686658782837,-0.04587427867436939,-0.0003985207565742,-0.0003201900677387468,-0.05600317208440001
9,18.88701287160523,5.0,23.897915797964338,-0.0003985207565742,-0.043224121784662,-0.046389208386211314,-0.0003985207565742,-0.00023547736080366773,-0.0584411037073496
10,18.97847441059259,0.5,19.525603078795008,-0.0004026221708786,-0.0040146010349235,-0.0055507899842711554,-0.0004026221708786,-0.00038014397812961224,-0.00666222121844867
10,18.97847441059259,2.0,21.058404139694176,-0.0004026221708786,-0.0522896145354123,-0.050130203377831986,-0.0004026221708786,-0.0003236316412765959,-0.06121586881728913
10,18.97847441059259,5.0,23.98999254909735,-0.0004026221708786,-0.0418829593071345,-0.043615428718416005,-0.0004026221708786,-0.000237885431232172,-0.05511304713730391
11,19.069833414222344,0.5,19.61706461778237,-0.0006309342338217,-0.0040187024492279,-0.007523756206721187,-0.0006309342338217,-0.0005957030802408624,-0.009015768964149094
11,19.069833414222344,2.0,21.1483276483174,-0.0006309342338217,-0.0556568756792967,-0.054667090236301286,-0.0006309342338217,-0.0005072275589961922,-0.0667362618209666
11,19.069833414222344,5.0,24.081351552727103,-0.0006309342338217,-0.0421112713700775,-0.0393468485464362,-0.0006309342338217,-0.0003727814143078347,-0.04993647871413563
12,19.160269599633608,0.5,19.70842362141212,-0.0028771421345128,-0.0042470145121711,-0.011121351110026326,-0.0028771421345128,-0.002716220290356281,-0.012949952466886384
